Bird	Year	Trip Num	Start	Stop	Duration	Fly	Dive	Rest	FirstFlight	LastFlight
a05315_30-07-10_lhh 262.csv	2010	4	7/29/10 5:29	7/29/10 21:26	57400	0	8205	49195	0:00:00	0:00:00
a05315_30-07-10_lhh 262.csv	2010	5	7/30/10 4:33	7/30/10 21:27	60790	990	10719	49081	0:16:30	0:00:00
a05321_20-05-10.csv	2010	2	5/18/10 5:01	5/18/10 21:21	58780	12445	14205	32130	0:03:30	0:24:15
a05321_20-05-10.csv	2010	3	5/19/10 5:02	5/19/10 21:21	58730	5380	18628	34722	0:16:25	0:00:00
a05321_20-05-10.csv	2010	4	5/20/10 5:07	5/20/10 21:26	58720	355	29891	28474	0:00:00	0:00:00
a05321_29-07-10_lhh 259.csv	2010	1	7/26/10 5:32	7/26/10 21:28	57375	1155	7871	48349	0:00:00	0:00:00
a05321_29-07-10_lhh 259.csv	2010	2	7/27/10 5:31	7/27/10 21:29	57460	650	15937	40873	0:00:00	0:00:00
a05321_29-07-10_lhh 259.csv	2010	3	7/28/10 5:30	7/28/10 21:20	56995	3745	13226	40024	0:00:00	0:00:00
a05519_28-07-10_cg 103.csv	2010	1	7/26/10 5:21	7/26/10 21:30	58125	840	9210	48075	0:00:00	0:00:00
a05519_28-07-10_cg 103.csv	2010	2	7/27/10 5:11	7/27/10 21:52	60055	1645	13293	45117	0:00:00	0:00:00
a05519_28-07-10_cg 103.csv	2010	3	7/28/10 4:58	7/28/10 21:32	59630	0	9257	50373	0	0
a06310_30-07-10_lhh 226.csv	2010	1	7/26/10 1:37	7/26/10 23:59	80530	550	6178	73802	0	N/A
a06310_30-07-10_lhh 226.csv	2010	2	7/27/10 5:19	7/27/10 22:02	60190	1385	4819	53986	0:00:00	0:00:00
a06310_30-07-10_lhh 226.csv	2010	3	7/28/10 3:41	7/28/10 21:25	63800	3225	4785	55790	0	0
a06310_30-07-10_lhh 226.csv	2010	4	7/29/10 0:22	7/29/10 22:14	78740	820	6690	71230	0:13:40	0
a06310_30-07-10_lhh 226.csv	2010	5	7/30/10 0:00	7/30/10 21:23	76995	750	9801	66444	N/A	0:00:00
a05107_14-06-2011.csv	2011	2	5/26/11 4:56	5/26/11 21:32	59780	9085	14944	35751	0:08:55	0:25:15
a05107_14-06-2011.csv	2011	3	5/27/11 4:43	5/27/11 21:32	60565	9370	25452	25743	0:09:05	0:11:55
a05107_14-06-2011.csv	2011	4	5/28/11 4:39	5/28/11 21:30	60650	10770	25519	24361	0:30:05	0:07:40
a05107_26-07-11_box 58.csv	2011	2	7/23/11 5:15	7/23/11 21:33	58690	8615	12357	37718	0:20:35	0:32:20
a05107_26-07-11_box 58.csv	2011	3	7/24/11 5:21	7/24/11 21:27	57935	1030	17175	39730	0:00:00	0:00:00
a05107_26-07-11_box 58.csv	2011	4	7/25/11 5:28	7/25/11 23:02	63245	3255	19267	40723	0:00:00	0:02:00
a05108_29-05-11_box14.csv	2011	2	5/26/11 4:50	5/26/11 21:49	61160	8345	15362	37453	0:06:00	0:19:20
a05108_29-05-11_box14.csv	2011	3	5/27/11 4:40	5/27/11 21:23	60215	11080	15727	33408	0:19:20	0:24:55
a05108_29-05-11_box14.csv	2011	4	5/28/11 4:50	5/28/11 21:42	60740	4015	20027	36698	0	0
a05109_14-06-2011.csv	2011	2	5/26/11 4:36	5/26/11 21:42	61550	9620	16014	35916	0:29:05	0:19:55
a05109_14-06-2011.csv	2011	4	5/28/11 4:46	5/28/11 21:35	60545	4000	15541	41004	0:28:35	0:04:10
a05109_25-07-11_box 85.csv	2011	2	7/23/11 4:43	7/23/11 21:29	60350	12185	12196	35969	0:27:05	0:21:20
a05109_25-07-11_box 85.csv	2011	3	7/24/11 5:20	7/24/11 21:18	57505	4840	12505	40160	0:07:45	0:00:00
a05109_25-07-11_box 85.csv	2011	4	7/25/11 5:24	7/25/11 21:32	58130	4685	16107	37338	0:04:45	0:00:00
a05110_29-05-11_box375.csv	2011	2	5/26/11 4:53	5/26/11 22:11	62280	8195	19780	34305	0:28:15	0:53:35
a05110_29-05-11_box375.csv	2011	3	5/27/11 5:07	5/27/11 22:00	60745	4040	26199	30506	0:14:20	0:20:45
a05110_29-05-11_box375.csv	2011	4	5/28/11 5:05	5/28/11 21:46	60060	1800	19757	38503	0:00:00	0:00:00
a05519_14-06-2011.csv	2011	2	5/26/11 4:24	5/26/11 21:46	62510	7690	17541	37279	0:17:05	0:29:20
a05519_14-06-2011.csv	2011	3	5/27/11 4:46	5/27/11 21:32	60345	5820	19852	34673	0:23:25	0
a05519_14-06-2011.csv	2011	4	5/28/11 4:51	5/28/11 21:41	60615	9985	15655	34975	0:30:10	0:27:50
a05519_25-07-11_box 209.csv	2011	2	7/23/11 5:23	7/23/11 21:34	58265	9870	11257	37138	0:04:55	0:18:10
a05519_25-07-11_box 209.csv	2011	3	7/24/11 5:35	7/24/11 21:25	57055	2490	20341	34224	0:00:00	0:01:50
a05519_25-07-11_box 209.csv	2011	4	7/25/11 5:34	7/25/11 21:22	56870	6430	3028	47412	0:09:10	0:27:05
a06310_14-06-2011.csv	2011	2	5/26/11 4:55	5/26/11 21:53	61050	4630	9020	47400	0:11:05	0:25:25
a06310_14-06-2011.csv	2011	3	5/27/11 4:47	5/27/11 21:54	61600	5945	14485	41170	0:00:00	0:09:50
a06310_14-06-2011.csv	2011	4	5/28/11 4:55	5/28/11 21:55	61240	1310	15860	44070	0:00:00	0:04:30
a06310_25-07-11_box 362.csv	2011	2	7/23/11 5:20	7/23/11 21:20	57600	8100	13390	36110	0:06:00	0:07:10
a06310_25-07-11_box 362.csv	2011	3	7/24/11 5:17	7/24/11 21:42	59090	7085	18051	33954	0:12:50	0:00:00
a06310_25-07-11_box 362.csv	2011	4	7/25/11 5:18	7/25/11 21:36	58735	5785	23071	29879	0:11:00	0:04:00
a06312_25-07-11_box 17.csv	2011	2	7/23/11 5:09	7/23/11 21:32	59025	3935	11473	43617	0:00:00	0:22:25
a06312_25-07-11_box 17.csv	2011	3	7/24/11 5:11	7/24/11 21:34	59000	3665	15867	39468	0:03:00	0:06:35
a06312_25-07-11_box 17.csv	2011	4	7/25/11 5:15	7/25/11 21:57	60130	5835	14419	39876	0:00:00	0:06:35
a06313_25-07-11_box 387.csv	2011	2	7/23/11 5:23	7/23/11 23:59	66960	20820	11055	35085	0:08:40	N/A
a06313_25-07-11_box 387.csv	2011	3	7/24/11 0:00	7/24/11 21:11	76305	6680	21071	48554	N/A	0:28:25
a06313_25-07-11_box 387.csv	2011	4	7/25/11 5:32	7/25/11 21:29	57410	3725	26492	27193	0:14:00	0:09:00
a06314_25-07-11_box 53.csv	2011	2	7/23/11 4:54	7/23/11 21:38	60255	5685	7572	46998	0:00:00	0:19:25
a06314_25-07-11_box 53.csv	2011	3	7/24/11 4:56	7/24/11 21:40	60225	5090	11226	43909	0	0
a06314_25-07-11_box 53.csv	2011	4	7/25/11 4:43	7/25/11 21:35	60740	8535	17155	35050	0:43:45	0:05:05
a07793_25-07-11_box 225.csv	2011	2	7/23/11 4:55	7/23/11 22:35	63575	1345	18966	43264	0:00:00	0:09:15
a07793_25-07-11_box 225.csv	2011	3	7/24/11 5:02	7/24/11 21:45	60170	2660	17001	40509	0	0
a07793_25-07-11_box 225.csv	2011	4	7/25/11 5:12	7/25/11 21:43	59450	1125	21424	36901	0:00:00	0:00:00
a07794_25-07-11_box 187.csv	2011	2	7/23/11 5:16	7/23/11 21:23	58060	7835	7142	43083	0:04:15	0:06:25
a07794_25-07-11_box 187.csv	2011	3	7/24/11 5:29	7/24/11 21:22	57180	7315	16970	32895	0:10:05	0
a07794_25-07-11_box 187.csv	2011	4	7/25/11 5:35	7/25/11 21:25	56995	10300	14450	32245	0	0:22:40
a07794_29-05-11_box112.csv	2011	2	5/26/11 4:39	5/26/11 21:36	61020	5715	12267	43038	0:24:00	0
a07794_29-05-11_box112.csv	2011	3	5/27/11 4:54	5/27/11 21:33	59930	3255	20705	35970	0:01:05	0:00:00
a07794_29-05-11_box112.csv	2011	4	5/28/11 5:01	5/28/11 21:31	59445	1095	23197	35153	0:00:00	0:05:05
a07795_14-06-2011.csv	2011	2	5/26/11 4:42	5/26/11 21:57	62080	9820	4491	47769	0:38:45	0:43:50
a07795_14-06-2011.csv	2011	3	5/27/11 4:50	5/27/11 21:35	60340	6370	15051	38919	0:18:50	0:00:00
a07795_14-06-2011.csv	2011	4	5/28/11 4:52	5/28/11 21:39	60410	275	22009	38126	0	0
a07796_25-07-11_box 186.csv	2011	2	7/23/11 4:41	7/23/11 21:25	60240	1325	9323	49592	0:06:20	0:02:50
a07796_25-07-11_box 186.csv	2011	3	7/24/11 5:37	7/24/11 21:30	57160	905	17799	38456	0:00:00	0:00:00
a07796_25-07-11_box 186.csv	2011	4	7/25/11 5:34	7/25/11 21:27	57230	1295	20620	35315	0:07:05	0
a07796_29-05-11_box 355.csv	2011	2	5/26/11 4:50	5/26/11 21:31	60005	13665	16312	30028	0:43:50	0:46:20
a07796_29-05-11_box 355.csv	2011	3	5/27/11 4:51	5/27/11 21:14	59010	14820	19543	24647	0:13:45	0:07:05
a07796_29-05-11_box 355.csv	2011	4	5/28/11 4:22	5/28/11 21:22	61175	8705	24667	27803	0:18:30	0
a05109_binaryimage.csv	2012	1	6/18/12 4:52	6/18/12 21:43	60670	11910	12523	36237	0:15:55	0:22:45
a05109_binaryimage.csv	2012	2	6/19/12 4:38	6/19/12 21:37	61135	9785	10599	40751	0:15:30	0:02:55
a06312_21-06-12.csv	2012	1	6/18/12 4:22	6/18/12 21:54	63120	8415	10985	43720	0:10:35	0:04:35
a06312_21-06-12.csv	2012	2	6/19/12 4:54	6/19/12 21:58	61465	2490	11766	47209	0:00:00	0:00:00
a06312_21-06-12.csv	2012	3	6/20/12 4:42	6/20/12 22:01	62300	865	12743	48692	0:00:00	0:00:00
a06313_21-06-12.csv	2012	1	6/18/12 4:34	6/18/12 23:59	69910	5660	15892	48358	0	N/A
a06313_21-06-12.csv	2012	2	6/19/12 0:00	6/19/12 22:54	82475	1645	19737	61093	N/A	0:00:00
a06313_21-06-12.csv	2012	3	6/20/12 4:53	6/20/12 22:04	61855	1945	15008	44902	0	0
a06314_20-06-12.csv	2012	1	6/18/12 4:37	6/18/12 21:57	62390	6690	17831	37869	0:38:35	0:12:20
a06314_20-06-12.csv	2012	3	6/20/12 3:43	6/20/12 21:53	65400	5745	16103	43552	0:31:15	0:04:30
a07794_21-06-12.csv	2012	1	6/18/12 4:59	6/18/12 22:02	61380	5700	13338.5	42341.5	0:05:55	0:06:35
a07794_21-06-12.csv	2012	2	6/19/12 4:46	6/19/12 21:52	61575	270	22595	38710	0	0
a07794_21-06-12.csv	2012	3	6/20/12 4:33	6/20/12 21:48	62085	425	35611	26049	0:05:45	0:00:00
a07794_21-06-12.csv	2012	4	6/21/12 4:53	6/21/12 21:50	61025	965	16641	43419	0	0
a07796_21-06-12.csv	2012	1	6/18/12 4:38	6/18/12 22:16	63475	11335	21408	30732	0:51:50	0:38:40
a07796_21-06-12.csv	2012	3	6/20/12 4:32	6/20/12 21:55	62605	3060	18971	40574	0:09:10	0:00:00
a06312_26-07-13_box lhh 187.csv	2013	1	7/24/13 5:08	7/24/13 21:22	58435	3500	15988	38947	0:19:30	0:00:00
a06312_26-07-13_box lhh 187.csv	2013	2	7/25/13 5:31	7/25/13 21:22	57035	2435	20819	33781	0:00:00	0:00:00
a06312_26-07-13_box lhh 187.csv	2013	3	7/26/13 5:28	7/26/13 21:26	57465	3825	24147	29493	0:00:00	0:00:00
a06312_31-05-13_box cb 399.csv	2013	1	5/28/13 5:13	5/28/13 21:29	58570	8590	12238	37742	0:24:10	0:00:00
a06312_31-05-13_box cb 399.csv	2013	2	5/29/13 4:57	5/29/13 21:32	59730	6970	14060	38700	0:31:00	0:02:50
a06312_31-05-13_box cb 399.csv	2013	3	5/30/13 4:36	5/30/13 21:33	61035	5620	23655	31760	0:19:15	0:09:20
a06313_26-07-13_box cg 112.csv	2013	1	7/24/13 4:12	7/24/13 21:41	62940	3000	27674	32266	0:09:35	0:00:00
a06313_26-07-13_box cg 112.csv	2013	3	7/26/13 3:48	7/26/13 21:38	64220	2365	28398	33457	0:37:05	0:00:00
a06313_31-05-13_box cb 352.csv	2013	1	5/28/13 4:57	5/28/13 21:41	60225	8705	12077	39443	0:23:05	0:28:15
a06313_31-05-13_box cb 352.csv	2013	2	5/29/13 4:58	5/29/13 21:40	60135	7480	16789	35866	0:30:45	0:17:50
a06313_31-05-13_box cb 352.csv	2013	3	5/30/13 4:52	5/30/13 21:39	60445	1265	26059	33121	0:00:00	0:00:00
a06314_26-07-13_box cb 363.csv	2013	1	7/24/13 4:32	7/24/13 22:32	64795	1630	22407	40758	0:00:00	0:21:10
a06314_26-07-13_box cb 363.csv	2013	2	7/25/13 5:15	7/25/13 22:15	61180	0	21865	39315	0:00:00	0:00:00
a06314_26-07-13_box cb 363.csv	2013	3	7/26/13 4:58	7/26/13 21:41	60200	0	20116	40084	0:00:00	0:00:00
a06314_30-05-13_box cs 79.csv	2013	1	5/28/13 2:58	5/28/13 21:40	67330	7700	24956	34674	0:07:20	0:03:35
a06314_30-05-13_box cs 79.csv	2013	2	5/29/13 5:03	5/29/13 22:05	61320	5525	18435	37360	0:03:50	0:19:35
a06314_30-05-13_box cs 79.csv	2013	3	5/30/13 4:26	5/30/13 21:50	62655	1215	24783	36657	0:02:50	0:00:00
a07794_31-05-13_box cs 20.csv	2013	1	5/28/13 4:42	5/28/13 21:43	61280	5330	19692	36258	0:11:00	0:00:00
a07794_31-05-13_box cs 20.csv	2013	2	5/29/13 5:00	5/29/13 21:26	59125	430	26268	32427	0:00:00	0:00:00
a07794_31-05-13_box cs 20.csv	2013	3	5/30/13 4:34	5/30/13 21:38	61490	1755	25270	34465	0:00:00	0:00:00
a07796_01-06-13_box lhh 263_2.csv	2013	1	5/28/13 3:14	5/28/13 21:41	66460	12950	8582	44928	0:09:30	0:06:30
a07796_01-06-13_box lhh 263_2.csv	2013	2	5/29/13 5:17	5/29/13 21:39	58900	3100	22031	33769	0:03:25	0:11:30
